news_001906: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_002132: 安潔莉娜裘莉一出馬就完勝！這天霸氣高貴到不輸皇室成員 | 時尚美妝 | 生活 | 聯合新聞網, eucDis = 2.6457513110645907
news_002173: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_003775: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_004229: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_004290: Non, eucDis = 2.6457513110645907
news_004906: 胖老爹開一年倒光光？網酸：不意外啦 | 生活新聞 | 生活 | 聯合新聞網, eucDis = 2.6457513110645907
news_005015: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_006909: 台灣最敢做大夢的導演 魏德聖為何募百億蓋遊樂園？ | 綜合 | 要聞 | 聯合新聞網, eucDis = 2.6457513110645907
news_009662: Non, eucDis = 2.6457513110645907
news_012519: 民調擠下藍 林義豐能否威脅黃偉哲獨霸局面 | 九合一選戰焦點 | 要聞 | 聯合新聞網, eucDis = 2.6457513110645907
news_013628: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_014185: 北韓性奴煉獄！人權觀察組織：朝鮮性侵大氾濫 | 國際焦點 | 全球 | 聯合新聞網, eucDis = 2.6457513110645907
news_015803: 「人不到 錢可到」財經界名嘴夏韻芬投資獲利心得 | 生活新聞 | 生活 | 聯合新聞網, eucDis = 2.6457513110645907
news_017112: Non, eucDis = 2.6457513110645907
news_017469: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_018404: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_019355: Non, eucDis = 2.6457513110645907
news_020187: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_021415: 跟著光在大稻埕散步燈光設計師帶您走訪兒時記憶中的巷弄 | 生活新聞 | 生活 | 聯合新聞網, eucDis = 2.6457513110645907
news_023941: 老闆有練過？早餐店三明治超扯餡料讓網友看傻眼 | 生活新聞 | 生活 | 聯合新聞網, eucDis = 2.6457513110645907
news_024770: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_027608: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_028521: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_029955: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_030697: 臉書哪個功能最雞婆？「沒隱私」讓網友超怒！ | 社群網路 | 數位 | 聯合新聞網, eucDis = 2.6457513110645907
news_031502: 郭倍宏愈玩愈辣 陳菊說項也不甩 | 九公投案綁大選 | 要聞 | 聯合新聞網, eucDis = 2.6457513110645907
news_032695: 備戰2020：台日兩國的東京奧運棒球國策 | 棒球 | 運動 | 聯合新聞網, eucDis = 2.6457513110645907
news_033204: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_033681: 中獎人彩金遭瓜分 可求償｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_037728: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_038192: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_038442: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_039133: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_039625: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_043395: 向東進擊的戰鬥民族！俄羅斯「遠東拓荒」的百年難題 | 世界萬象 | 全球 | 聯合新聞網, eucDis = 2.6457513110645907
news_043437: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_044735: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
